=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.08.20 12:35:56 =~=~=~=~=~=~=~=~=~=~=~=
tRun LAUR.IO.TEST
Program started 
Time taken for Initialise Variable:   1
Time taken for Opening Connection to reach table:   1025
ud3600t2402
Time taken for Execute host Name:   4
Time for WRITE :   TEST577    1
Time for WRITE :   TEST578    1
Time for WRITE :   TEST579    1
Time for WRITE :   TEST580    1
Time for WRITE :   TEST581    1
Time for WRITE :   TEST582    1
Time for WRITE :   TEST583    1
Time for WRITE :   TEST584    1
Time for WRITE :   TEST585    2
Time for WRITE :   TEST586    1
Time for WRITE :   TEST587    1
Time for WRITE :   TEST588    1
Time for WRITE :   TEST589    1
Time for WRITE :   TEST590    1
Time for WRITE :   TEST591    1
Time for WRITE :   TEST592    1
Time for WRITE :   TEST593    1
Time for WRITE :   TEST594    1
Time for WRITE :   TEST595    0
Time for WRITE :   TEST596    0
Time for WRITE :   TEST597    1
Time for WRITE :   TEST598    1
Time for WRITE :   TEST599    1
Time for WRITE :   TEST600    1
Time for WRITE :   TEST601    1
Time for WRITE :   TEST602    1
Time for WRITE :   TEST603    1
Time for WRITE :   TEST604    1
Time for WRITE :   TEST605    1
Time for WRITE :   TEST606    1
Time for WRITE :   TEST607    1
Time for WRITE :   TEST608    1
Time for WRITE :   TEST609    1
Time for WRITE :   TEST610    1
Time for WRITE :   TEST611    1
Time for WRITE :   TEST612    1
Time for WRITE :   TEST613    1
Time for WRITE :   TEST614    1
Time for WRITE :   TEST615    1
Time for WRITE :   TEST616    1
Time for WRITE :   TEST617    1
Time for WRITE :   TEST618    1
Time for WRITE :   TEST619    1
Time for WRITE :   TEST620    1
Time for WRITE :   TEST621    2
Time for WRITE :   TEST622    1
Time for WRITE :   TEST623    1
Time for WRITE :   TEST624    1
Time for WRITE :   TEST625    0
Time for WRITE :   TEST626    0
Time for WRITE :   TEST627    1
Time for WRITE :   TEST628    1
Time for WRITE :   TEST629    1
Time for WRITE :   TEST630    1
Time for WRITE :   TEST631    1
Time for WRITE :   TEST632    1
Time for WRITE :   TEST633    1
Time for WRITE :   TEST634    1
Time for WRITE :   TEST635    1
Time for WRITE :   TEST636    1
Time for WRITE :   TEST637    1
Time for WRITE :   TEST638    1
Time for WRITE :   TEST639    1
Time for WRITE :   TEST640    1
Time for WRITE :   TEST641    1
Time for WRITE :   TEST642    1
Time for WRITE :   TEST643    1
Time for WRITE :   TEST644    1
Time for WRITE :   TEST645    0
Time for WRITE :   TEST646    0
Time for WRITE :   TEST647    1
Time for WRITE :   TEST648    2
Time for WRITE :   TEST649    1
Time for WRITE :   TEST650    1
Time for WRITE :   TEST651    1
Time for WRITE :   TEST652    1
Time for WRITE :   TEST653    1
Time for WRITE :   TEST654    1
Time for WRITE :   TEST655    1
Time for WRITE :   TEST656    0
Time for WRITE :   TEST657    1
Time for WRITE :   TEST658    1
Time for WRITE :   TEST659    1
Time for WRITE :   TEST660    1
Time for WRITE :   TEST661    1
Time for WRITE :   TEST662    1
Time for WRITE :   TEST663    2
Time for WRITE :   TEST664    1
Time for WRITE :   TEST665    1
Time for WRITE :   TEST666    1
Time for WRITE :   TEST667    1
Time for WRITE :   TEST668    1
Time for WRITE :   TEST669    1
Time for WRITE :   TEST670    1
Time for WRITE :   TEST671    1
Time for WRITE :   TEST672    1
Time for WRITE :   TEST673    1
Time for WRITE :   TEST674    1
Time for WRITE :   TEST675    1
Time for WRITE :   TEST676    1
Time for WRITE :   TEST677    1
Time for WRITE :   TEST678    1
Time for WRITE :   TEST679    1
Time for WRITE :   TEST680    1
Time for WRITE :   TEST681    1
Time for WRITE :   TEST682    1
Time for WRITE :   TEST683    1
Time for WRITE :   TEST684    1
Time for WRITE :   TEST685    1
Time for WRITE :   TEST686    1
Time for WRITE :   TEST687    1
Time for WRITE :   TEST688    1
Time for WRITE :   TEST689    1
Time for WRITE :   TEST690    1
Time for WRITE :   TEST691    2
Time for WRITE :   TEST692    1
Time for WRITE :   TEST693    1
Time for WRITE :   TEST694    1
Time for WRITE :   TEST695    1
Time for WRITE :   TEST696    1
Time for WRITE :   TEST697    1
Time for WRITE :   TEST698    2
Time for WRITE :   TEST699    1
Time for WRITE :   TEST700    1
Time for WRITE :   TEST701    1
Time for WRITE :   TEST702    2
Time for WRITE :   TEST703    1
Time for WRITE :   TEST704    1
Time for WRITE :   TEST705    1
Time for WRITE :   TEST706    1
Time for WRITE :   TEST707    1
Time for WRITE :   TEST708    1
Time for WRITE :   TEST709    1
Time for WRITE :   TEST710    1
Time for WRITE :   TEST711    1
Time for WRITE :   TEST712    1
Time for WRITE :   TEST713    2
Time for WRITE :   TEST714    1
Time for WRITE :   TEST715    1
Time for WRITE :   TEST716    1
Time for WRITE :   TEST717    1
Time for WRITE :   TEST718    1
Time for WRITE :   TEST719    1
Time for WRITE :   TEST720    1
Time for WRITE :   TEST721    1
Time for WRITE :   TEST722    1
Time for WRITE :   TEST723    1
Time for WRITE :   TEST724    1
Time for WRITE :   TEST725    2
Time for WRITE :   TEST726    1
Time for WRITE :   TEST727    2
Time for WRITE :   TEST728    2
Time for WRITE :   TEST729    2
Time for WRITE :   TEST730    1
Time for WRITE :   TEST731    2
Time for WRITE :   TEST732    2
Time for WRITE :   TEST733    1
Time for WRITE :   TEST734    1
Time for WRITE :   TEST735    1
Time for WRITE :   TEST736    1
Time for WRITE :   TEST737    2
Time for WRITE :   TEST738    1
Time for WRITE :   TEST739    1
Time for WRITE :   TEST740    1
Time for WRITE :   TEST741    1
Time for WRITE :   TEST742    1
Time for WRITE :   TEST743    1
Time for WRITE :   TEST744    1
Time for WRITE :   TEST745    1
Time for WRITE :   TEST746    1
Time for WRITE :   TEST747    1
Time for WRITE :   TEST748    2
Time for WRITE :   TEST749    1
Time for WRITE :   TEST750    1
Time for WRITE :   TEST751    1
Time for WRITE :   TEST752    1
Time for WRITE :   TEST753    1
Time for WRITE :   TEST754    1
Time for WRITE :   TEST755    1
Time for WRITE :   TEST756    2
Time for WRITE :   TEST757    1
Time for WRITE :   TEST758    1
Time for WRITE :   TEST759    1
Time for WRITE :   TEST760    1
Time for WRITE :   TEST761    1
Time for WRITE :   TEST762    1
Time for WRITE :   TEST763    1
Time for WRITE :   TEST764    1
Time for WRITE :   TEST765    2
Time for WRITE :   TEST766    1
Time for WRITE :   TEST767    1
Time for WRITE :   TEST768    1
Time for WRITE :   TEST769    1
Time for WRITE :   TEST770    1
Time for WRITE :   TEST771    2
Time for WRITE :   TEST772    1
Time for WRITE :   TEST773    1
Time for WRITE :   TEST774    1
Time for WRITE :   TEST775    1
Time for WRITE :   TEST776    1
Time for WRITE :   TEST777    1
Time for WRITE :   TEST778    1
Time for WRITE :   TEST779    1
Time for WRITE :   TEST780    1
Time for WRITE :   TEST781    1
Time for WRITE :   TEST782    1
Time for WRITE :   TEST783    1
Time for WRITE :   TEST784    1
Time for WRITE :   TEST785    2
Time for WRITE :   TEST786    1
Time for WRITE :   TEST787    1
Time for WRITE :   TEST788    2
Time for WRITE :   TEST789    1
Time for WRITE :   TEST790    1
Time for WRITE :   TEST791    1
Time for WRITE :   TEST792    1
Time for WRITE :   TEST793    1
Time for WRITE :   TEST794    2
Time for WRITE :   TEST795    1
Time for WRITE :   TEST796    1
Time for WRITE :   TEST797    0
Time for WRITE :   TEST798    2
Time for WRITE :   TEST799    1
Time for WRITE :   TEST800    1
Time for WRITE :   TEST801    1
Time for WRITE :   TEST802    2
Time for WRITE :   TEST803    1
Time for WRITE :   TEST804    1
Time for WRITE :   TEST805    1
Time for WRITE :   TEST806    1
Time for WRITE :   TEST807    1
Time for WRITE :   TEST808    1
Time for WRITE :   TEST809    1
Time for WRITE :   TEST810    1
Time for WRITE :   TEST811    1
Time for WRITE :   TEST812    1
Time for WRITE :   TEST813    1
Time for WRITE :   TEST814    1
Time for WRITE :   TEST815    2
Time for WRITE :   TEST816    1
Time for WRITE :   TEST817    1
Time for WRITE :   TEST818    1
Time for WRITE :   TEST819    1
Time for WRITE :   TEST820    1
Time for WRITE :   TEST821    1
Time for WRITE :   TEST822    1
Time for WRITE :   TEST823    1
Time for WRITE :   TEST824    1
Time for WRITE :   TEST825    1
Time for WRITE :   TEST826    1
Time for WRITE :   TEST827    1
Time for WRITE :   TEST828    1
Time for WRITE :   TEST829    1
